Dealer Name,Address,City,State,Zip,Phone,Contact Name,Contact Email,Website,Domains,Notes
Kendall Ford Lincoln of Anchorage,1950 Gambell,Anchorage,AK,99501,(907) 276-5300,Jeff Toth,,https://www.kendalllincolnanchorage.com/,kendalllincolnanchorage.com,Title: General Manager | Website: https://www.kendalllincolnanchorage.com/ | Source: https://www.kendalllincolnanchorage.com/dealership/staff.htm (no email published for this contact) | Brand: Lincoln
Seekins Ford Lincoln,1625 Seekins Ford Drive,Fairbanks,AK,99701,(907) 459-4000,Margaret Russell,,https://www.seekinslincoln.com/,seekinslincoln.com,Title: General Manager | Website: https://www.seekinslincoln.com/ | Source: https://www.seekinslincoln.com/staff (no email published for this contact) | Lead inbox: sales@seekins.com | Brand: Lincoln
Bondy's Lincoln,3615 Ross Clark Circle NW,Dothan,AL,36303,(334) 792-5171,,,https://www.bondyslincolndothan.com/,bondyslincolndothan.com,Website: https://www.bondyslincolndothan.com/ | Lead inbox: bondysbdc@bondysford.com | Staff page: no_staff_page | Brand: Lincoln
King Lincoln,615 Fob James Drive,Valley,AL,36854,(334) 756-7111,,,https://www.kinglincoln.net/,kinglincoln.net,Website: https://www.kinglincoln.net/ | Lead inbox: kingsales@knology.net | Staff page: blocked | Brand: Lincoln
Long-Lewis Lincoln of Cullman,5255 Highway 157,Cullman,AL,35058,(256) 734-3361,,,https://www.longlewislincolncullman.net/,longlewislincolncullman.net,Website: https://www.longlewislincolncullman.net/ | Staff page: blocked | Brand: Lincoln
Long-Lewis Lincoln of the Shoals,2800 Woodward Ave.,Muscle Shoals,AL,35661,(256) 386-7800,,,https://www.longlewislincolnsales.com/,longlewislincolnsales.com,Website: https://www.longlewislincolnsales.com/ | Lead inbox: tricia.lane@longlewis.net | Staff page: blocked | Brand: Lincoln
Long-Lewis of Hoover,2551 Highway 150,Hoover,AL,35244,(205) 989-3673,,,https://www.longlewislincolnofhoover.com/,longlewislincolnofhoover.com,Website: https://www.longlewislincolnofhoover.com/ | Staff page: blocked | Brand: Lincoln
Lowe Lincoln,801 West Grand Avenue,Rainbow City,AL,35906,(256) 442-9090,,,https://www.lowelincoln.com/,lowelincoln.com,Website: https://www.lowelincoln.com/ | Lead inbox: dlsales@bellsouth.net | Staff page: blocked | Brand: Lincoln
"Ray Pearman Lincoln, Inc",2501 Bob Wallace,Huntsville,AL,35805,(256) 536-7451,,,https://www.raypearman.com/,raypearman.com,Website: https://www.raypearman.com/ | Lead inbox: paige@raypearman.com | Staff page: blocked | Brand: Lincoln
Sandy Sansing Lincoln,27180 Highway 98,Daphne,AL,36526,(251) 626-7777,,,https://www.sandysansinglincoln.net/,sandysansinglincoln.net,Website: https://www.sandysansinglincoln.net/ | Staff page: blocked | Brand: Lincoln
Stivers Ford Lincoln,4000 Eastern Blvd.,Montgomery,AL,36116,(334) 613-5000,Dan Torgrimson,dtorgrimson@rothbardmotors.com,https://www.stiverslincolnofmontgomery.net/,stiverslincolnofmontgomery.net,Title: Sales Manager | Website: https://www.stiverslincolnofmontgomery.net/ | Source: https://www.stiverslincolnofmontgomery.com/staff/ | Lead inbox: sales@montgomeryfordlm.com | Brand: Lincoln
"Cavenaugh Ford Lincoln, LLC",2000 East Highland Dr.,Jonesboro,AR,72401,(870) 972-8000,,,https://www.cavenaughlincoln.com/,cavenaughlincoln.com,Website: https://www.cavenaughlincoln.com/ | Lead inbox: dcavenaugh@cavautogroup.com | Staff page: blocked | Brand: Lincoln
Cogswell Mtrs Inc,1900 East Main,Russellville,AR,72801,(479) 968-2665,,,https://www.cogswellmotorslincoln.net/,cogswellmotorslincoln.net,Website: https://www.cogswellmotorslincoln.net/ | Lead inbox: mnapier@cogswellmotors.com | Staff page: no_staff_page | Brand: Lincoln
Mark McLarty Lincoln,4400 Landers Road,North Little Rock,AR,72117,(501) 945-1200,Charles Archer,carcher@mclartyauto.com,https://www.markmclartylincoln.net/,markmclartylincoln.net,Title: Sales Manager | Website: https://www.markmclartylincoln.net/ | Source: https://www.markmclartylincoln.net/staff | Brand: Lincoln
McLarty Daniel Lincoln,2609 South Walton Boulevard,Bentonville,AR,72712,(479) 273-9022,,,https://www.mclartydaniellincoln.net/,mclartydaniellincoln.net,Website: https://www.mclartydaniellincoln.net/ | Lead inbox: jhooe@mclarty.com | Staff page: no_staff_page | Brand: Lincoln
Riser Lincoln,4201 Central Avenue,Hot Springs,AR,71913,(501) 525-0800,Stephen Williams,Swilliams@riserlincoln.com,https://www.riserlincoln.com/,riserlincoln.com,Title: Sales Manager | Website: https://www.riserlincoln.com/ | Source: https://www.RiserLincoln.com/dealership/staff.htm | Lead inbox: mattb@riserauto.com | Brand: Lincoln
Alexander Lincoln,801 E 32nd Street,Yuma,AZ,85365,(928) 344-2200,,,https://www.billalexanderlincoln.com/,billalexanderlincoln.com,Website: https://www.billalexanderlincoln.com/ | Lead inbox: billalexanderflm@salespoint.dealerconnection.com | Staff page: blocked | Brand: Lincoln
Camelback Lincoln,1330 E. Camelback Road,Phoenix,AZ,85014,(602) 464-7239,,,https://www.camelback-lincoln.com/,camelback-lincoln.com,Website: https://www.camelback-lincoln.com/ | Staff page: blocked | Brand: Lincoln
Fiesta Lincoln,1720 S Mesa Drive,Mesa,AZ,85210,(480) 813-4900,,,https://www.fiestalincolnofmesa.com/,fiestalincolnofmesa.com,Website: https://www.fiestalincolnofmesa.com/ | Lead inbox: fiestalmsales1@leadcrm.com | Staff page: blocked | Brand: Lincoln
Galpin Lincoln – Prescott,1000 Sandretto Drive,Prescott,AZ,86305,(928) 445-3673,,,https://www.galpinlincolnofprescott.com/,galpinlincolnofprescott.com,Website: https://www.galpinlincolnofprescott.com/ | Lead inbox: jbrock@galpinfordinc.com | Staff page: no_staff_page | Brand: Lincoln
Holmes Tuttle Lincoln,660 West Auto Mall Drive,Tucson,AZ,85705,(520) 292-3600,Dan Gonzalez,dgonzalez@jimclick.com,https://www.holmestuttlelincoln.com/,holmestuttlelincoln.com,Title: General Sales Manager | Website: https://www.holmestuttlelincoln.com/ | Source: https://www.holmestuttlelincoln.com/staff | Brand: Lincoln
Sanderson Lincoln – Phoenix,2121 W Bell Road,Phoenix,AZ,85023,(602) 375-7500,,,https://www.sandersonlincoln.net/,sandersonlincoln.net,Website: https://www.sandersonlincoln.net/ | Staff page: blocked | Brand: Lincoln
Sanderson Lincoln – Scottsdale,15345 N Scottsdale Rd,Scottsdale,AZ,85254,(480) 572-1400,,,https://www.sandersonlincoln.net/,sandersonlincoln.net,Website: https://www.sandersonlincoln.net/ | Staff page: blocked | Brand: Lincoln
Caruso Lincoln,3500 Cherry Avenue,Long Beach,CA,90807,(562) 426-3301,,,https://www.carusolincolnlongbeach.com/,carusolincolnlongbeach.com,Website: https://www.carusolincolnlongbeach.com/ | Lead inbox: sales@longbeachlincoln.com | Staff page: blocked | Brand: Lincoln
Cypress Coast Lincoln,#4 Geary Plaza,Seaside,CA,93955,(831) 899-8300,,,https://www.cypresscoastlincoln.net/,cypresscoastlincoln.net,Website: https://www.cypresscoastlincoln.net/ | Lead inbox: webmaster@vscc.com | Staff page: no_staff_page | Brand: Lincoln
Future Lincoln of Concord,2285 Diamond Blvd.,Concord,CA,94520,(925) 686-5000,,,https://www.futurelincolnofconcord.net/,futurelincolnofconcord.net,Website: https://www.futurelincolnofconcord.net/ | Lead inbox: atiedt@futurefordofconcord.com | Staff page: blocked | Brand: Lincoln
Future Lincoln of Roseville,650 Auto Mall Dr,Roseville,CA,95661,(916) 786-3673,,,https://www.futurelincolnofroseville.com/,futurelincolnofroseville.com,Website: https://www.futurelincolnofroseville.com/ | Lead inbox: ysalas@futureford.com | Staff page: blocked | Brand: Lincoln
Galpin Ford 101,21501 Ventura Blvd,Woodland Hills,CA,91364,(818) 884-7600,,,,,Brand: Lincoln
Galpin Lincoln – North Hills,8350 Langdon Ave.,North Hills,CA,91343,(888) 642-8277,,,https://www.galpinlincoln.net/,galpinlincoln.net,Website: https://www.galpinlincoln.net/ | Lead inbox: sales@galpin.dealerspace.com | Staff page: no_staff_page | Brand: Lincoln
Hansel Lincoln,3075 Corby Ave,Santa Rosa,CA,95407,(707) 543-7300,,,https://www.hansellincoln.net/,hansellincoln.net,Website: https://www.hansellincoln.net/ | Lead inbox: hanselfordlm@leadcrm.com | Staff page: no_staff_page | Brand: Lincoln
Jim Burke Lincoln,5300 Gasoline Alley Dr.,Bakersfield,CA,93313,(661) 837-6400,,,https://www.jimburkelincoln.net/,jimburkelincoln.net,Website: https://www.jimburkelincoln.net/ | Lead inbox: sales@burkeauto.com | Staff page: blocked | Brand: Lincoln
Keller Lincoln,1073 W. Cadillac Lane,Hanford,CA,93230,(559) 584-5531,Alex Goerzen,,https://www.kellerlincolnofhanford.com/,kellerlincolnofhanford.com,Title: General Sales Manager | Website: https://www.kellerlincolnofhanford.com/ | Source: https://www.kellerlincolnofhanford.com/dealership/staff.htm (no email published for this contact) | Brand: Lincoln
Lincoln South Coast,1405 Auto Mall Drive,Santa Ana,CA,92705,(844) 728-8789,,,https://www.lincolnsouthcoast.net/,lincolnsouthcoast.net,Website: https://www.lincolnsouthcoast.net/ | Staff page: blocked | Brand: Lincoln
