Dealer Name,Address,City,State,Zip,Phone,Contact Name,Contact Email,Website,Domains,Notes
MINI of Anchorage,730 E. 5th Avenue,Anchorage,AK,99501,(907) 743-7100,,,https://www.minianchorage.com/,minianchorage.com,Website: https://www.minianchorage.com/ | Staff page: blocked | Brand: MINI
MINI North Scottsdale,7101 E Chauncey Ln,Phoenix,AZ,85054,(877) 705-4108,,,https://www.mininorthscottsdale.com/,mininorthscottsdale.com,Website: https://www.mininorthscottsdale.com/ | Lead inbox: tbennett@penskeautomotive.com | Staff page: no_staff_page | Brand: MINI
MINI of Tempe,7855 South Test Drive,Tempe,AZ,85284,(480) 421-4700,,,https://www.minioftempe.com/,minioftempe.com,Website: https://www.minioftempe.com/ | Lead inbox: tgluvna@penskeautomotive.com | Staff page: no_staff_page | Brand: MINI
Bob Smith MINI,24500 Calabasas Road,Calabasas,CA,91302,(818) 444-1650,,,https://www.bobsmithmini.com/,bobsmithmini.com,Website: https://www.bobsmithmini.com/ | Staff page: no_staff_page | Brand: MINI
Crevier MINI,1455 Auto Mall Drive,Santa Ana,CA,92705,(714) 560-9525,Jeffrey Zheng,,https://www.creviermini.com/,creviermini.com,Title: Sales Manager | Website: https://www.creviermini.com/ | Source: https://www.creviermini.com/about-us/staff/ (no email published for this contact) | Lead inbox: ttauber@penskeautomotive.com | Brand: MINI
MINI of Berkeley,735 Ashby Avenue,Berkeley,CA,94710,(855) 571-5269,,,https://www.miniofberkeley.com/,miniofberkeley.com,Website: https://www.miniofberkeley.com/ | Lead inbox: sales@miniofberkeley.com | Staff page: blocked | Brand: MINI
MINI of Downtown Los Angeles,6201 S Alameda Street,Los Angeles,CA,90001,(323) 277-4240,,,https://www.minidtla.com/,minidtla.com,Website: https://www.minidtla.com/ | Lead inbox: minisales@carpros.com | Staff page: blocked | Brand: MINI
MINI of Escondido,1557 Auto Park Way,Escondido,CA,92029,(760) 745-3000,Matt Crandall,,https://www.miniofescondido.com/,miniofescondido.com,Title: General Manager | Website: https://www.miniofescondido.com/ | Source: https://www.miniofescondido.com/about-us/staff/ (no email published for this contact) | Brand: MINI
MINI of Marin,5880 Paradise Drive,Corte Madera,CA,94925,(415) 737-0500,,,https://www.miniofmarin.com/,miniofmarin.com,Website: https://www.miniofmarin.com/ | Lead inbox: jthomer@penskeautomotive.com | Staff page: no_staff_page | Brand: MINI
MINI of Monrovia,1451 South Mountain Avenue,Monrovia,CA,91016,(877) 278-0090,,,https://www.miniofmonrovia.com/,miniofmonrovia.com,Website: https://www.miniofmonrovia.com/ | Lead inbox: yahia.zabdie@miniofmonrovia.com | Staff page: blocked | Brand: MINI
MINI of Ontario,1251 Auto Center Drive,Ontario,CA,91761,(888) 964-5970,Diego Gonzalez,,https://www.miniofontario.com/,miniofontario.com,Title: General Sales Manager | Website: https://www.miniofontario.com/ | Source: https://www.miniofontario.com/about-us/staff/ (no email published for this contact) | Brand: MINI
MINI of San Diego,4812 Kearny Mesa Road,San Diego,CA,92111,(858) 616-6464,Rich Manas,,https://www.miniofsandiego.com/,miniofsandiego.com,Title: General Manager | Website: https://www.miniofsandiego.com/ | Source: https://www.miniofsandiego.com/about-us/staff/ (no email published for this contact) | Lead inbox: arahbari@penskeautomotive.com | Brand: MINI
MINI of San Francisco,1675 Howard Street,San Francisco,CA,94103,(628) 235-1200,,,,,Brand: MINI
