Dealer Name,Address,City,State,Zip,Phone,Contact Name,Contact Email,Website,Domains,Notes
Century Volvo Cars,3800 University Drive N.W.,Huntsville,AL,35816,(256) 787-0669,,,https://www.century-volvo.com/,century-volvo.com,Website: https://www.century-volvo.com/ | Lead inbox: ctuttle@centuryauto.com | Staff page: blocked | Brand: Volvo
Jack Ingram Volvo Cars,267 Eastern Blvd,Montgomery,AL,36117,(334) 429-7446,Ingram Volvo,,https://www.jackingramvolvocars.com/,jackingramvolvocars.com,Title: General Manager | Website: https://www.jackingramvolvocars.com/ | Source: https://www.jackingramvolvocars.com/dealership/staff.htm (no email published for this contact) | Lead inbox: TThames@jackingram.com | Brand: Volvo
Volvo Cars Mobile,1525 E I-65 Service Rd S.,Mobile,AL,36606,(251) 714-2215,,,https://www.volvocarsmobile.com/,volvocarsmobile.com,Website: https://www.volvocarsmobile.com/ | Lead inbox: eamen@tameron.com | Staff page: blocked | Brand: Volvo
Volvo Cars of Vestavia Hills,3010 Columbiana Road,Vestavia Hills,AL,35216,(205) 847-2741,,,https://www.volvocarsofvestaviahills.com/,volvocarsofvestaviahills.com,Website: https://www.volvocarsofvestaviahills.com/ | Lead inbox: rrobinson@royalautomotive.net | Staff page: no_staff_page | Brand: Volvo
McLarty Volvo Cars of Little Rock,1500 North Shackleford Rd,Little Rock,AR,72211,(501) 474-6012,,,https://www.mclartyvolvocars.com/,mclartyvolvocars.com,Website: https://www.mclartyvolvocars.com/ | Lead inbox: jandrews@nortpointcars.com | Staff page: blocked | Brand: Volvo
Courtesy Volvo Cars of Scottsdale,4001 North 89th Street,Scottsdale,AZ,85251,(480) 573-7243,DANA MILLER,,https://www.courtesyvolvocarsofscottsdale.com/,courtesyvolvocarsofscottsdale.com,Title: General Sales Manager | Website: https://www.courtesyvolvocarsofscottsdale.com/ | Source: https://www.courtesyvolvocarsofscottsdale.com/about-us/staff/ (no email published for this contact) | Lead inbox: Volvo@courtesyautomotivegroup.com | Brand: Volvo
Volvo Cars Arrowhead,19300 N. 101 Loop,Glendale,AZ,85308,(602) 433-6252,Dustin Snider,,https://www.volvocarsarrowhead.com/,volvocarsarrowhead.com,Title: General Sales Manager | Website: https://www.volvocarsarrowhead.com/ | Source: https://www.volvocarsarrowhead.com/dealership/staff.htm (no email published for this contact) | Lead inbox: sales@volvoarrowhead.com | Brand: Volvo
Volvo Cars Gilbert,3285 S. Gilbert Road,Gilbert,AZ,85297,(602) 780-0492,Antonio Almada,,https://www.volvocarsgilbert.com/,volvocarsgilbert.com,Title: Sales Manager | Website: https://www.volvocarsgilbert.com/ | Source: https://www.volvocarsgilbert.com/about-us/staff/ (no email published for this contact) | Lead inbox: volvoesales@volvocarsgilbert.com | Brand: Volvo
Volvo Cars Tucson,831 West Wetmore Road,Tucson,AZ,85705,(520) 455-3296,Nicholas Runnels,,https://www.volvocarstucson.com/,volvocarstucson.com,Title: General Manager | Website: https://www.volvocarstucson.com/ | Source: https://www.volvocarstucson.com/dealership/staff.htm (no email published for this contact) | Lead inbox: mpun@wiseautogroup.com | Brand: Volvo
AutoNation Volvo Cars San Jose,4600 Stevens Creek Blvd,San Jose,CA,95129,(408) 638-4368,,,https://www.autonationvolvocarssanjose.com/,autonationvolvocarssanjose.com,Website: https://www.autonationvolvocarssanjose.com/ | Lead inbox: MendozaJ1@autonation.com | Staff page: blocked | Brand: Volvo
Culver City Volvo Cars,11201 Washington Blvd,Culver City,CA,90230,(424) 392-6416,Business Office,,https://www.culvercityvolvo.com/,culvercityvolvo.com,Title: General Manager | Website: https://www.culvercityvolvo.com/ | Source: https://www.culvercityvolvocars.com/dealership/staff.htm (no email published for this contact) | Lead inbox: sales@culvercityvolvo.com | Brand: Volvo
Galpin Volvo Cars,8333 Sepulveda Blvd,North Hills,CA,91343,(818) 423-4103,,,https://www.vannuysvolvocars.com/,vannuysvolvocars.com,Website: https://www.vannuysvolvocars.com/ | Lead inbox: premier@galpin.dsmessage.com | Staff page: no_staff_page | Brand: Volvo
Niello Volvo Cars Sacramento,4609 Madison Ave,Sacramento,CA,95841,(916) 471-4385,,,https://volvocars.niello.com/,volvocars.niello.com,Website: https://volvocars.niello.com/ | Lead inbox: volvo.sales@niello.com | Staff page: no_staff_page | Brand: Volvo
Penske Volvo Cars,17695 Gale Avenue,City of Industry,CA,91748,(626) 649-4565,,,https://www.penskevolvocars.com/,penskevolvocars.com,Website: https://www.penskevolvocars.com/ | Lead inbox: jnorsworthy@socalpenske.com | Staff page: no_staff_page | Brand: Volvo
Rusnak Volvo Cars,267 West Colorado Boulevard,Pasadena,CA,91105,(626) 714-6673,,,https://www.rusnakvolvocars.com/,rusnakvolvocars.com,Website: https://www.rusnakvolvocars.com/ | Lead inbox: sales@rusnakvolvo.dealerspace.com | Staff page: blocked | Brand: Volvo
Rusnak Volvo Cars Westlake,3839 Auto Mall Drive,Thousand Oaks,CA,91362,(805) 567-7989,,,,,Lead inbox: sales@rusnak.com | Brand: Volvo
Smith Volvo Cars,1219 Monterey Street,San Luis Obispo,CA,93401,(805) 977-6205,,,https://www.smithvolvo.com/,smithvolvo.com,Website: https://www.smithvolvo.com/ | Lead inbox: brent@smithvolvocars.com | Staff page: no_staff_page | Brand: Volvo
Smothers European Volvo Cars,2881 Corby Ave.,Santa Rosa,CA,95407,(707) 638-1636,,,https://www.smotherseuropeanvolvocars.com/,smotherseuropeanvolvocars.com,Website: https://www.smotherseuropeanvolvocars.com/ | Lead inbox: vileads@smotherseuropean.com | Staff page: blocked | Brand: Volvo
Volvo Cars Burlingame,900 Peninsula Avenue,Burlingame,CA,94010,(650) 610-2270,,,https://www.volvocarsburlingame.com/,volvocarsburlingame.com,Website: https://www.volvocarsburlingame.com/ | Lead inbox: rreplies@putnamauto.com | Staff page: blocked | Brand: Volvo
Volvo Cars Carlsbad,6830 Avenida Encinas,Carlsbad,CA,92011,(760) 417-6832,,,https://www.volvocarscarlsbad.com/,volvocarscarlsbad.com,Website: https://www.volvocarscarlsbad.com/ | Lead inbox: info@carlsbadvolvo.com | Staff page: no_staff_page | Brand: Volvo
Volvo Cars Cerritos,18303 Studebaker Road,Cerritos,CA,90703,(562) 545-4657,,,https://www.volvocarscerritos.com/,volvocarscerritos.com,Website: https://www.volvocarscerritos.com/ | Lead inbox: sales@volvocarscerritos.com | Staff page: no_staff_page | Brand: Volvo
Volvo Cars Chico,13340 Garner Lane,Chico,CA,95973,(530) 464-1044,Jerry Pajouh,,https://www.volvocarschico.com/,volvocarschico.com,Title: General Manager | Website: https://www.volvocarschico.com/ | Source: https://www.volvocarschico.com/about-us/staff/ (no email published for this contact) | Lead inbox: courtesymotors@chicocourtesy.com | Brand: Volvo
Volvo Cars Dublin,5510 Scarlett Drive,Dublin,CA,94568,(925) 248-3049,SAMMY HERMEZ,,https://www.volvocarsdublin.com/,volvocarsdublin.com,Title: General Manager | Website: https://www.volvocarsdublin.com/ | Source: https://www.volvocarsdublin.com/dealership/staff.htm (no email published for this contact) | Lead inbox: sales@volvocarsdublin.com | Brand: Volvo
Volvo Cars Escondido,1938 Auto Parkway,Escondido,CA,92029,(760) 546-5814,,,https://www.volvocarsescondido.com/,volvocarsescondido.com,Website: https://www.volvocarsescondido.com/ | Lead inbox: info@volvoescondido.com | Staff page: no_staff_page | Brand: Volvo
Volvo Cars Fresno,2222 Cesar Chavez Blvd,Fresno,CA,93721,(559) 529-9384,,,https://www.volvocarsfresno.com/,volvocarsfresno.com,Website: https://www.volvocarsfresno.com/ | Lead inbox: sales@volvofresno.com | Staff page: no_staff_page | Brand: Volvo
Volvo Cars Marin,619 Francisco Blvd East,San Rafael,CA,94901,(415) 496-0273,Greg Angell,,https://www.volvocarsmarin.com/,volvocarsmarin.com,Title: General Sales Manager | Website: https://www.volvocarsmarin.com/ | Source: https://www.volvocarsmarin.com/dealership/staff.htm (no email published for this contact) | Lead inbox: Sales@dealerspace.marinluxurycars.com | Brand: Volvo
Volvo Cars Mission Viejo,28730 Marguerite Pkwy.,Mission Viejo,CA,92692,(949) 359-6864,,,https://www.volvocarsmissionviejo.com/,volvocarsmissionviejo.com,Website: https://www.volvocarsmissionviejo.com/ | Lead inbox: sales@volvocarsmissionviejo.com | Staff page: no_staff_page | Brand: Volvo
Volvo Cars Monterey,1711 Del Monte Blvd.,Seaside,CA,93955,(831) 230-9536,Joey Goulart,,https://www.volvocarsmonterey.com/,volvocarsmonterey.com,Title: General Manager | Website: https://www.volvocarsmonterey.com/ | Source: https://www.volvocarsmonterey.com/about-us/meet-our-team/ (no email published for this contact) | Lead inbox: assistance@volvocarsmonterey.com | Brand: Volvo
Volvo Cars Ontario,1300 Auto Center Drive,Ontario,CA,91761,(909) 740-6109,,,https://www.volvocarsontario.com/,volvocarsontario.com,Website: https://www.volvocarsontario.com/ | Lead inbox: sales@ontariovolvo.com | Brand: Volvo
